job_role,salary_usd,salary_percentile,skill_demand_score,hiring_difficulty_score
Software Engineer AI,43268,74,80,59.34019892656833
Software Engineer AI,37712,82,49,63.29720107756528
NLP Engineer,153176,55,21,64.39494818110416
Machine Learning Engineer,102716,97,88,95.92021284431468
Software Engineer AI,62612,23,65,52.70311370293526
AI Engineer,81093,9,94,84.94785621006852
Data Scientist,88751,94,70,40.82316561354031
Data Analyst,28000,36,66,82.98860817945884
Computer Vision Engineer,83603,56,13,75.5986876385443
NLP Engineer,57307,25,32,56.621306565669904
AI Engineer,59535,1,22,46.505444656777456
Software Engineer AI,94951,9,11,26.30030214170139
Machine Learning Engineer,43912,75,54,92.09346264787575
Software Engineer AI,54437,41,39,76.81881579805183
AI Engineer,183108,9,17,40.321016680807205
Research Scientist,67130,82,27,54.85649245630088
Computer Vision Engineer,126464,21,82,87.31296201950134
Computer Vision Engineer,139135,71,48,90.94614682317302
Research Scientist,89465,29,40,100.0
Data Analyst,110907,43,87,44.152339504504326
Machine Learning Engineer,158412,56,94,48.955875412777694
Data Analyst,68211,86,65,55.53970542148884
Software Engineer AI,155111,39,79,72.24856887074628
Data Analyst,162252,32,64,53.2709218049563
AI Engineer,74838,18,16,65.99054341510882
Research Scientist,180739,70,43,80.36825392334043
Data Scientist,84240,54,70,67.14675085899887
AI Engineer,172678,34,24,76.0473206280221
Machine Learning Engineer,92263,40,100,61.33699713725734
AI Engineer,144848,90,32,26.564984727187657
Machine Learning Engineer,63084,63,2,76.30145649170535
NLP Engineer,114541,100,79,45.36576619190978
Computer Vision Engineer,141862,73,97,62.853826054132576
NLP Engineer,62492,77,44,54.30684754898727
Research Scientist,61616,89,98,23.685151981994206
Computer Vision Engineer,187463,48,85,92.38146370409514
Software Engineer AI,117325,25,16,2.867403192513592
Machine Learning Engineer,34822,25,37,76.36654550008684
Data Analyst,82818,90,71,74.96668364001263
Computer Vision Engineer,83483,62,7,11.503868226175186
Machine Learning Engineer,194342,72,32,40.0792945444134
Data Analyst,150191,95,8,42.3641496194784
Data Analyst,50271,58,1,72.34982410230838
Computer Vision Engineer,87178,76,34,59.20814641223346
Research Scientist,212050,77,57,89.07465545040989
NLP Engineer,156680,87,3,26.24118544407864
AI Engineer,97722,61,63,26.87221386521059
NLP Engineer,37185,98,85,68.14204041717522
Computer Vision Engineer,70197,59,61,65.68172511748496
Data Scientist,170240,37,35,52.47922866503971
Research Scientist,144163,25,59,71.20411586047425
Data Analyst,131001,84,50,40.23381115844748
Computer Vision Engineer,65532,19,2,88.95906362960937
Data Scientist,63507,69,43,65.3816451914753
Software Engineer AI,172920,56,96,62.23188308605432
Machine Learning Engineer,144823,19,48,51.01996428480697
NLP Engineer,61359,19,64,65.20699931298586
Research Scientist,77300,46,49,61.83762131276346
Research Scientist,74091,64,78,74.14074729227676
Data Analyst,78397,57,6,76.12708595936658
Software Engineer AI,139589,65,47,44.79470244004161
Data Scientist,103262,87,87,58.620873805711106
Software Engineer AI,74189,82,75,89.19787482811388
Machine Learning Engineer,37506,39,60,71.96161978482162
NLP Engineer,58980,50,69,42.67867218009455
Software Engineer AI,157813,48,5,23.50039826406166
Computer Vision Engineer,185075,25,51,22.703369850818923
Computer Vision Engineer,66134,98,27,70.03889700257369
Data Analyst,67575,23,70,100.0
AI Engineer,90785,95,7,74.50490943694334
Machine Learning Engineer,71124,6,29,16.91344008152214
Software Engineer AI,92259,68,49,57.21992333902972
Computer Vision Engineer,124104,54,59,43.58182409495779
Machine Learning Engineer,114116,12,12,84.54748507559472
Machine Learning Engineer,91562,86,53,35.56556735495775
AI Engineer,89120,29,85,58.40718209624
Software Engineer AI,136564,78,72,66.309524658481
Research Scientist,57484,52,73,62.309533546292215
Data Scientist,78971,93,48,71.7446108123551
Machine Learning Engineer,31809,57,63,62.38856519010021
Research Scientist,89192,86,63,79.09519121902812
AI Engineer,77568,38,98,65.61499766934489
Machine Learning Engineer,29307,86,65,74.76116249598891
Machine Learning Engineer,58569,91,74,47.84446322280172
Machine Learning Engineer,89009,20,81,68.69385355526836
Machine Learning Engineer,165294,58,40,67.75157877210248
AI Engineer,142818,95,75,79.93268065382182
Computer Vision Engineer,103707,11,44,44.41530558774025
Data Scientist,72735,50,48,36.31295535243519
Software Engineer AI,63530,85,33,46.72484683526391
Data Scientist,71547,91,17,88.1646228022098
Research Scientist,246257,28,40,47.1763883837765
Computer Vision Engineer,31659,5,95,50.18938994038552
Software Engineer AI,62221,6,93,88.67194077146443
